# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       0.31
2                       0.64
4                       1.28
8                       2.51
16                      5.37
32                      9.59
64                     17.23
128                    35.21
256                    56.18
512                    82.05
1024                   96.36
2048                  105.68
4096                  111.20
8192                  114.32
16384                 116.03
32768                 116.81
65536                 117.20
131072                117.40
262144                117.51
524288                117.58
1048576               117.61
