# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.93
2                      12.04
4                      23.78
8                      48.13
16                     97.79
32                    195.11
64                    335.11
128                   675.15
256                  1134.15
512                  2149.22
1024                 3196.73
2048                 5071.90
4096                 4775.06
8192                 9895.07
16384               10496.04
32768               11321.81
65536               11654.40
131072              11842.83
262144              11956.37
524288              12019.29
1048576             12044.47
2097152             12058.49
4194304             12060.82
