# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      42.51
2                      42.61
4                      42.56
8                      42.71
16                     42.84
32                     43.15
64                     44.16
128                    45.77
256                    50.26
512                    55.90
1024                   67.40
2048                   84.54
4096                  106.17
8192                  162.33
16384                 210.99
32768                 356.17
65536                 631.51
131072               1193.22
262144               2404.14
524288               4634.67
1048576              9077.77
