# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.06
2                       1.02
4                       0.97
8                       0.94
16                      0.93
32                      0.98
64                      1.07
128                     1.12
256                     1.57
512                     1.68
1024                    1.90
2048                    2.33
4096                    3.16
8192                    4.51
16384                   6.35
32768                   8.30
65536                  11.50
131072                 18.15
262144                 31.33
524288                 55.75
1048576               100.60
2097152               185.22
4194304               360.29
